sample_id,length,local_mode,weight_name,weight_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features
L69_center_00000,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3867487860080217,0.2870057842476352,-0.09974300176038653,0.7420987334183443,222
L69_center_00001,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.42758316196789975,0.34280720333731785,-0.0847759586305819,0.8017322332329205,222
L69_center_00002,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3567010405518228,0.3201856212896195,-0.03651541926220325,0.8976301857552385,222
L69_center_00003,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4136317173818702,0.29159029654960794,-0.12204142083226227,0.7049514925868413,222
L69_center_00004,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.42870510261340916,0.33502296205323323,-0.09368214056017593,0.7814764975058972,222
L69_center_00005,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.39401004880925755,0.3440549047059948,-0.04995514410326274,0.8732135277914034,222
L69_center_00006,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.39646821133663623,0.35491136358276315,-0.04155684775387308,0.8951823965564097,222
L69_center_00007,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.34275548659830724,0.26791769535447674,-0.0748377912438305,0.781658371142176,222
L69_center_00008,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4062762501747619,0.30448011492172583,-0.10179613525303605,0.7494410879069404,222
L69_center_00009,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4446272289437324,0.3335959356230092,-0.1110312933207232,0.750282290213103,222
L69_center_00010,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.37709583633437693,0.33333333333333337,-0.04376250300104356,0.8839485913542714,222
L69_center_00011,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3469133983697076,0.3391696214633471,-0.007743776906360467,0.9776780691009579,222
L69_center_00012,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.31644526206290147,0.32550609681200193,0.009060834749100466,1.0286331818970302,222
L69_center_00013,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3779644730092272,0.18898223650461365,-0.18898223650461354,0.5000000000000001,222
L69_center_00014,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.38324497171815186,0.26434519582377486,-0.118899775894377,0.6897551574875744,222
L69_center_00015,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3979014577296566,0.31766840611216557,-0.08023305161749106,0.7983594931386172,222
L69_center_00016,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.44232586846469146,0.3629811639446371,-0.07934470452005438,0.8206193438438067,222
L69_center_00017,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.40099630984983964,0.21170828717033716,-0.18928802267950248,0.5279556992671957,222
L69_center_00018,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4156188286543954,0.30846670096033324,-0.10715212769406218,0.7421865413533425,222
